Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1e3ac1501e010d4ed6746aa4fcd2e9bbce0ed94ec74ae7f98850494afa1cfd03,2016-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
57549f91bacbd9d2181570932b35800c9fa54c22297637e5870382b97b994c96,2016-05,South Yorkshire Police,South Yorkshire Police,-1.444605,53.585495,On or near PARKSIDE,E01007436,Barnsley 002B,Suspect charged
b8b546fdb6811cb41bb3a3f48683cb6b51bc3005be8cfd9079acc0ce7847d397,2016-05,South Yorkshire Police,South Yorkshire Police,-1.347947,53.342369,On or near Petrol Station,E01008037,Sheffield 065E,Suspect charged
94242dd268936bdac08b979e9b4f5e1c54e84ad2f23202d26e305c43f7d330f9,2016-05,South Yorkshire Police,South Yorkshire Police,-1.156228,53.503820,On or near Supermarket,E01007495,Doncaster 028A,Suspect charged
d6580b705458300a3a806deea4fde7e56c26926abc28f5ef54e425dc01171dbd,2016-05,South Yorkshire Police,South Yorkshire Police,-1.156228,53.503820,On or near Supermarket,E01007495,Doncaster 028A,Suspect charged
fe155601d4c4e8e683c4aa25130380c1ed1ceac035bfee76ed70c0cc86a42cab,2016-05,South Yorkshire Police,South Yorkshire Police,-1.316540,53.372422,On or near HALL ROAD,E01007666,Rotherham 026A,Suspect charged
f8b6bba6cefb6d4bba6a17b77b43a96409207a363882558626e5b974030499c3,2016-05,South Yorkshire Police,South Yorkshire Police,-1.357600,53.428569,On or near WESTGATE,E01007714,Rotherham 017B,Suspect charged
ecb8e7d754d8ff9440cbbbca4f5a2d2bb14f074323f1a136b51605e0420c4185,2016-05,South Yorkshire Police,South Yorkshire Police,-1.484200,53.431160,On or near FULMERE ROAD,E01008117,Sheffield 009D,Investigation complete; no suspect identified
7387471fdeff726feb90924a9e756ea1fbafec4228e22c82f1b1fcd3f178bdcd,2016-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
5820a66c6129e9f4024aafa81a1646f8a7dedc73b367c2c226c77a7d6ab2d7a9,2016-05,South Yorkshire Police,South Yorkshire Police,-1.471487,53.344498,On or near DERBYSHIRE LANE,E01007830,Sheffield 064B,Investigation complete; no suspect identified
65e2daa8c6e00261b5031d91c2af4d0949be04d3f686877dacbff343289f2235,2016-05,South Yorkshire Police,South Yorkshire Police,-1.182004,53.559710,On or near TUDOR ROAD,E01007504,Doncaster 009F,Investigation complete; no suspect identified
c3c7d16866f17dcd8af3203daa6d4e952eab73971987c874edb8be26265128ca,2016-05,South Yorkshire Police,South Yorkshire Police,-1.190785,53.422198,On or near FISHER ROAD,E01007760,Rotherham 020D,Investigation complete; no suspect identified
23639c37b081ad3f216c13b71653a80bc9684a74212c323115be28c95e88d1ec,2016-05,South Yorkshire Police,South Yorkshire Police,-1.361484,53.357111,On or near GREENGATE ROAD,E01007969,Sheffield 044B,Investigation complete; no suspect identified
b0a6ec112cf35684dc8b6ed810789c25e2f1742e7b4335128d97f3e3fa25b47c,2016-05,South Yorkshire Police,South Yorkshire Police,-1.315394,53.368955,On or near WALPOLE GROVE,E01007668,Rotherham 030B,Investigation complete; no suspect identified
8894698105ae251e4670f85c0d3bbd647c6c5cdbf265bf8599ab6c68b11af25b,2016-05,South Yorkshire Police,South Yorkshire Police,-1.405842,53.520934,On or near BONDFIELD CRESCENT,E01007453,Barnsley 026C,Investigation complete; no suspect identified
